food_code,food_name,food_category,representative_food,serving_basis,calories,carbs,protein,fat,sugar,sodium,source
D420-763000000-0001,카페모카,음료 및 차류,카페모카,100ml,63,9.64,1.9,1.9,6.78,28,식품의약품안전처
D420-762210000-0001,카페라떼_카라멜,음료 및 차류,카페라떼,100ml,59,9.24,1.7,1.84,6.11,21,식품의약품안전처
D420-762200000-0001,카페라떼_시럽,음료 및 차류,카페라떼,100ml,51,6.9,1.7,1.83,5.25,20,식품의약품안전처
D420-762000000-0001,카페라떼,음료 및 차류,카페라떼,100ml,38,3.57,1.7,1.83,2.24,20,식품의약품안전처
D202-109000000-0017,카스텔라_후레쉬카스텔라,빵 및 과자류,카스텔라,100g,337,,6,,27,170,식품의약품안전처
D202-109000000-0016,카스텔라_플레인 카스테라,빵 및 과자류,카스텔라,100g,368,,4.23,,30.28,151,식품의약품안전처
D202-109000000-0015,카스텔라_폭탄 카스테라,빵 및 과자류,카스텔라,100g,352,,33.33,,33.33,133,식품의약품안전처
D202-109000000-0028,카스텔라_폭신한 생크림 카스텔라,빵 및 과자류,카스텔라,100g,352,,5.46,,20,255,식품의약품안전처
D202-109000000-0027,카스텔라_펄 슈가 카스테라,빵 및 과자류,카스텔라,100g,303,,7.5,,33.75,188,식품의약품안전처
D202-109000000-0026,카스텔라_클래식 카스테라,빵 및 과자류,카스텔라,100g,309,39.71,11.77,11.77,25,125,식품의약품안전처
D202-109000000-0025,카스텔라_크림가득 카스테라,빵 및 과자류,카스텔라,100g,314,,5.6,,16,167,식품의약품안전처
D202-109000000-0013,카스텔라_큐브 라이스 카스텔라,빵 및 과자류,카스텔라,100g,323,,7.5,,40,55,식품의약품안전처
D202-109000000-0012,카스텔라_카스텔라우유스틱 브레드,빵 및 과자류,카스텔라,100g,284,,7,,19,218,식품의약품안전처
D202-109000000-0011,카스텔라_카스테라구마,빵 및 과자류,카스텔라,100g,314,,4.76,,12.38,219,식품의약품안전처
D202-109000000-0010,카스텔라_촉촉한 쌀카스테라 플레인,빵 및 과자류,카스텔라,100g,309,,6.67,,42,53,식품의약품안전처
D202-109000000-0009,카스텔라_촉촉한 쌀카스테라 녹차,빵 및 과자류,카스텔라,100g,294,,6.67,,43.33,54,식품의약품안전처
D202-109000000-0024,카스텔라_우유크림카스테라,빵 및 과자류,카스텔라,100g,333,,5.71,,23.81,100,식품의약품안전처
D202-109000000-0008,카스텔라_우유크림 카스테라,빵 및 과자류,카스텔라,100g,352,,33.33,,8.33,133,식품의약품안전처
D202-109000000-0020,카스텔라_우유생크림 카스테라,빵 및 과자류,카스텔라,100g,329,37.14,5.71,18.1,21.9,210,식품의약품안전처
D202-109000000-0007,카스텔라_우리米 카스텔라,빵 및 과자류,카스텔라,100g,305,,7,,25,57,식품의약품안전처
D202-109000000-0006,카스텔라_우리 흑米 카스텔라,빵 및 과자류,카스텔라,100g,315,,8,,20.5,82,식품의약품안전처
D202-109000000-0019,카스텔라_생크림 카스텔라,빵 및 과자류,카스텔라,100g,349,35.71,5.36,20.54,21.43,250,식품의약품안전처
D202-109000000-0005,카스텔라_생크림 카스테라,빵 및 과자류,카스텔라,100g,352,,6.61,,33.88,131,식품의약품안전처
D202-109000000-0022,카스텔라_생크림 가득 카스텔라,빵 및 과자류,카스텔라,100g,174,,2.76,,13.26,77,식품의약품안전처
D202-109000000-0003,카스텔라_부드러운 생크림 카스텔라,빵 및 과자류,카스텔라,100g,332,,5.88,,21.18,114,식품의약품안전처
D202-109000000-0002,카스텔라_베리베리 카스텔라,빵 및 과자류,카스텔라,100g,341,,6,,6,320,식품의약품안전처
D202-109000000-0001,카스텔라_민트초코 생크림 카스텔라,빵 및 과자류,카스텔라,100g,326,,7.2,,24.8,273,식품의약품안전처
D202-109000000-0021,카스텔라_난리난 카스텔라,빵 및 과자류,카스텔라,100g,312,41.67,6.67,,23.33,100,식품의약품안전처
D102-109000000-0001,카스텔라,빵 및 과자류,카스텔라,100g,335,47.99,10.03,11.47,33.77,63,식품의약품안전처
D218-707000000-0001,카레소스_치킨마크니 찍먹커리,"장류, 양념류",카레소스,100g,172,28.01,3.65,,10.24,648,식품의약품안전처
D618-707000000-0001,카레소스,"장류, 양념류",카레소스,100ml,70,9.75,2.7,2.33,2.22,376,식품의약품안전처
D401-044480000-0001,카레라이스_채소,밥류,카레라이스,100ml,95,18.96,2.09,1.18,1.82,94,식품의약품안전처
D501-044390000-0001,카레라이스_오징어,밥류,카레라이스,100ml,117,20.69,4.3,1.83,1.33,26,식품의약품안전처
D401-044280000-0001,카레라이스_소고기,밥류,카레라이스,100ml,113,19.28,2.7,2.48,0.88,298,식품의약품안전처
D501-044580000-0001,카레라이스_두부,밥류,카레라이스,100ml,104,16.18,3.7,2.43,0.65,203,식품의약품안전처
D601-044146300-0001,카레라이스_돼지고기_모듬채소,밥류,카레라이스,100ml,99,18.44,2.7,1.52,1.11,25,식품의약품안전처
D501-044140000-0001,카레라이스_돼지고기,밥류,카레라이스,100ml,164,29.04,4.6,2.84,1.25,227,식품의약품안전처
D101-044000000-0001,카레라이스,밥류,카레라이스,100g,108,20.74,3.11,1.4,0.16,210,식품의약품안전처
D408-444000000-0001,칠면조구이,구이류,칠면조구이,100ml,207,0.96,30.6,7.98,0.11,551,식품의약품안전처
